Confidence Level,VaR: Parametric Method,VaR: Historical Method,VaR: Monte Carlo Simulation,CVaR: Parametric Method,CVaR: Historical Method,CVaR: Monte Carlo Simulation
90%,64528.16835753953,50818.150173628586,50805.06052737969,88366.21337663024,79828.84905284681,78148.14859995895
95%,82821.00745460816,76452.46732315065,70923.26456818542,103860.88464534756,97020.39027439308,96375.58143546684
99%,117135.3313516648,107360.32837339335,111168.38609523192,117135.3313516648,120257.78454706102,137084.209608092
